Date,VSMO,UNAC,CNRU,VKCO,MGNT,KZOSP,WUSH,UGLD,LNZL,SELG,PRFN,CARM,RUAL,NKHP,ALRS,DIAS,TATN,RTKM,PRMD,TGKN,TRNFP,DOMRF,RAGR,GCHE,UWGN,SNGSP,FIXR,NKNC,VRSB,MBNK,MOEX,KAZTP,SNGS,TGKBP,PIKK,ROSN,EUTR,MRKU,ENPG,T,MRKV,CNTL,VSEH,SVAV,KMAZ,KZOS,ELFV,HEAD,ETLN,SMLT,SBER,GECO,GAZP,BSPB,LSNG,RENI,POSI,KROT,SIBN,KLSB,CHMK,MRKZ,APTK,HYDR,LNZLP,SFIN,RASP,BAZA,GMKN,UPRO,MSNG,AFKS,PLZL,LEAS,CNTLP,OZON,LIFE,DATA,IRKT,TTLK,SVCB,GEMC,PHOR,HNFG,HHRU,TATNP,MAGN,VTBR,BANEP,MRKP,FLOT,ABIO,DVEC,ZAYM,MTSS,OZPH,FEES,PMSB,GLRX,RBCM,MSRS,IRAO,NSVZ,BLNG,X5,NVTK,UNKL,AQUA,ROLO,OGKB,CBOM,ABRD,TRMK,SOFL,KRKNP,CHMF,NKNCP,LSRG,RTKMP,MGTSP,KLVZ,YDEX,BANE,AFLT,MVID,PMSBP,MSTT,MTLR,IVAT,AKRN,MDMG,SBERP,LENT,ASTR,RKKE,MRKC,KAZT,YAKG,TGKB,RNFT,GTRK,NLMK,BELU,FESH,SGZH,LSNGP,MRKS,LKOH,DELI,MGKL,NMTP,TGKA,MTLRP,MRKY
2021-02-09,22200.0,0.47,,2006.2,5239.0,20.6,,,18360.0,45.19,1.95,,37.5,380.5,104.15,,523.1,104.7,,0.0,1461.6,,126.9,2010.0,137.0,40.15,,88.8,68.0,,164.83,164.5,33.94,0.01,762.5,494.85,,0.16,762.0,3465.0,0.07,17.54,,268.5,63.3,85.5,0.91,2441.0,133.76,1098.0,267.91,,227.1,55.18,6.24,,,397.0,339.5,11.34,3185.0,0.06,13.51,0.8,4130.0,495.4,179.85,,253.96,2.88,2.15,35.85,1452.0,,16.16,4955.0,6.97,,25.7,0.51,,,3642.0,,2441.0,489.4,51.8,188.55,1204.5,0.25,90.93,39.18,0.84,,332.85,,0.22,149.2,,3.52,1.33,5.37,203.0,6.21,2634.0,1373.8,10290.0,250.0,1.03,0.79,6.41,197.0,58.44,,15540.0,1287.2,79.46,941.0,92.05,1980.0,,5128.0,1668.5,70.0,794.2,149.8,108.1,72.3,,6006.0,499.5,247.07,,,8010.0,0.38,175.4,60.4,0.0,202.4,41.0,207.04,1800.0,11.38,,155.65,0.37,5688.5,,,8.26,0.01,75.0,0.05
2021-02-10,22500.0,0.47,,2014.0,5154.0,21.46,,,18230.0,44.81,1.95,,36.99,378.0,103.73,,523.2,103.58,,0.0,1444.0,,126.12,2012.0,137.0,40.22,,88.8,68.0,,160.4,164.0,33.67,0.01,740.5,490.85,,0.16,781.0,3543.4,0.07,17.26,,267.0,63.8,85.6,0.91,2382.0,133.3,1091.0,265.53,,222.87,55.0,6.19,,,393.0,333.0,11.29,3185.0,0.06,13.46,0.79,4116.0,492.8,179.4,,252.38,2.86,2.14,35.4,1429.0,,16.06,4754.0,7.01,,25.62,0.52,,,3624.0,,2382.0,486.3,51.55,187.22,1195.0,0.25,90.08,39.02,0.83,,329.9,,0.22,150.7,,3.5,1.33,5.36,203.5,6.06,2599.5,1340.8,10080.0,256.0,1.07,0.79,6.43,196.6,58.2,,15560.0,1280.0,79.16,927.0,92.2,1966.0,,5311.0,1648.0,68.52,827.1,150.0,108.6,71.75,,6008.0,495.4,244.32,,,8090.0,0.38,180.8,59.6,0.0,199.0,41.0,205.34,1830.0,11.14,,153.8,0.38,5571.0,,,8.15,0.01,74.6,0.05
2021-02-11,22840.0,0.46,,2027.4,5150.0,21.01,,,18530.0,44.6,1.97,,37.37,379.5,105.02,,520.0,103.07,,0.0,1462.0,,126.32,2096.0,136.8,40.11,,89.1,68.0,,160.61,164.0,33.81,0.01,736.7,501.0,,0.16,784.0,3525.6,0.07,17.06,,268.0,63.8,85.2,0.91,2364.0,133.7,1095.0,265.1,,222.45,55.03,6.19,,,396.0,331.3,11.34,3220.0,0.06,13.54,0.8,4110.0,497.0,179.7,,254.28,2.87,2.14,35.02,1446.0,,15.8,4812.0,7.02,,25.44,0.52,,,3668.0,,2364.0,484.0,51.7,188.32,1182.5,0.25,90.05,38.76,0.83,,328.5,,0.22,148.7,,3.52,1.33,5.3,202.5,6.1,2615.0,1340.4,10120.0,256.0,1.11,0.79,6.44,197.0,58.44,,15520.0,1281.8,81.6,936.2,91.8,1968.0,,5374.5,1655.5,68.86,803.1,150.0,107.75,72.33,,6030.0,496.6,243.03,,,8080.0,0.38,173.8,61.9,0.0,204.2,40.6,207.02,1939.0,11.0,,153.8,0.38,5668.5,,,8.12,0.01,76.2,0.05
2021-02-12,22920.0,0.45,,1993.4,5153.0,20.71,,,18390.0,44.35,1.98,,36.51,369.0,104.61,,526.5,103.61,,0.0,1460.0,,126.18,2099.0,139.5,40.2,,89.1,68.0,,163.37,161.5,33.54,0.01,755.4,504.15,,0.16,769.0,3536.4,0.07,17.44,,260.0,63.3,84.4,0.91,2302.0,133.82,1079.2,264.0,,226.0,55.1,6.13,,,394.0,339.0,11.27,3220.0,0.06,13.45,0.8,4080.0,497.2,179.1,,253.26,2.87,2.13,35.15,1435.6,,15.82,4791.0,7.06,,25.5,0.51,,,3671.0,,2302.0,486.3,51.66,186.75,1173.0,0.25,89.81,38.74,0.83,,325.85,,0.22,149.9,,3.48,1.32,5.25,202.0,6.1,2594.5,1372.8,10250.0,253.5,1.09,0.8,6.4,196.6,58.28,,15540.0,1289.0,81.04,924.2,91.75,1950.0,,5432.0,1653.0,69.0,780.7,149.8,107.55,70.77,,6036.0,492.9,243.12,,,8070.0,0.37,177.2,62.7,0.0,206.8,40.0,207.18,2158.0,11.09,,157.9,0.38,5706.0,,,8.16,0.01,77.65,0.05
2021-02-15,23560.0,0.45,,2011.0,5272.0,20.8,,,18450.0,45.3,2.0,,37.2,383.5,102.96,,537.8,104.27,,0.0,1458.0,,126.04,2087.0,140.5,40.0,,89.15,68.5,,165.21,166.0,34.07,0.01,761.5,518.15,,0.16,772.0,3587.8,0.07,17.66,,262.0,63.8,84.8,0.91,2302.0,134.1,1090.2,270.18,,228.3,55.57,6.18,,,390.0,344.2,11.3,3305.0,0.06,13.48,0.81,4100.0,495.0,179.8,,261.84,2.88,2.12,35.52,1446.0,,16.24,4707.5,7.12,,25.5,0.52,,,3714.0,,2302.0,497.2,51.5,190.2,1180.0,0.26,90.02,38.8,0.84,,329.5,,0.22,151.4,,3.49,1.36,5.28,202.5,6.36,2654.5,1394.0,10390.0,254.5,1.13,0.81,6.49,198.0,58.76,,15580.0,1278.6,80.98,925.0,92.05,1958.0,,5435.0,1657.0,69.04,797.2,150.4,109.35,73.27,,6060.0,492.2,248.78,,,8400.0,0.38,174.8,65.4,0.0,209.0,40.4,206.48,2510.0,11.29,,157.0,0.38,5887.5,,,8.13,0.01,77.1,0.05
2021-02-16,23800.0,0.45,,2037.6,5305.0,20.68,,,18380.0,45.2,2.04,,37.4,378.0,101.48,,539.0,104.44,,0.0,1456.0,,126.28,2080.0,138.7,40.02,,89.3,68.5,,162.74,165.5,33.98,0.01,768.1,528.1,,0.16,755.0,3735.0,0.07,17.54,,261.0,63.7,84.9,0.91,2327.0,133.42,1076.8,271.25,,232.4,55.93,6.14,,,394.0,346.6,11.06,3285.0,0.06,13.45,0.81,4100.0,489.2,178.1,,262.36,2.87,2.12,35.82,1438.8,,16.28,4721.5,7.03,,25.4,0.51,,,3776.0,,2327.0,499.0,52.47,188.85,1173.0,0.25,90.14,38.82,0.85,,328.95,,0.22,150.7,,3.5,1.39,5.29,203.5,6.23,2656.0,1391.0,11160.0,254.0,1.12,0.81,6.54,198.6,58.68,,15580.0,1300.6,81.36,932.2,92.2,1966.0,,5391.0,1645.0,69.28,823.0,150.2,109.15,72.33,,6090.0,495.1,249.23,,,8390.0,0.38,174.8,66.5,0.0,208.2,40.0,208.0,3174.0,11.45,,157.35,0.38,5865.0,,,8.18,0.01,77.75,0.05
2021-02-17,23000.0,0.44,,2006.6,5225.0,20.41,,,18420.0,44.6,1.99,,38.3,372.0,99.81,,522.2,103.38,,0.0,1459.6,,126.04,2083.0,137.0,39.91,,89.4,69.0,,164.6,164.0,34.0,0.01,758.6,507.2,,0.16,760.5,3882.8,0.07,17.22,,258.5,63.5,84.4,0.86,2357.0,133.28,1070.0,268.94,,226.77,55.49,6.12,,,395.0,347.65,10.86,3250.0,0.06,13.43,0.81,4080.0,483.6,175.6,,263.5,2.88,2.12,35.4,1396.0,,16.22,4547.5,6.99,,25.26,0.51,,,3765.0,,2357.0,488.5,51.53,187.15,1170.0,0.25,89.85,38.4,0.84,,325.1,,0.22,151.7,,3.48,1.39,5.28,205.0,6.24,2628.5,1351.6,10660.0,253.5,1.09,0.78,6.45,201.0,58.48,,15500.0,1287.0,81.16,909.4,92.0,1946.0,,5221.0,1633.0,69.08,833.4,149.8,108.55,72.37,,6050.0,502.0,247.0,,,8290.0,0.37,171.0,66.05,0.0,208.2,39.4,205.46,4442.0,11.48,,156.35,0.38,5688.5,,,8.12,0.01,77.05,0.05
2021-02-18,22700.0,0.48,,1998.6,5178.0,20.49,,,18280.0,44.2,1.97,,38.8,376.5,97.62,,513.4,105.29,,0.0,1450.6,,126.58,2079.0,136.2,39.72,,89.05,69.0,,160.01,161.5,33.45,0.01,765.5,508.0,,0.16,760.0,3927.0,0.07,17.2,,257.0,62.9,82.0,0.84,2338.0,133.58,1075.2,266.51,,224.74,54.81,6.05,,,551.0,338.1,10.8,3130.0,0.06,13.5,0.81,4076.0,485.4,174.9,,266.42,2.85,2.1,35.35,1366.6,,15.82,4513.0,6.9,,25.26,0.5,,,3740.0,,2338.0,481.7,50.82,183.78,1163.5,0.25,89.08,38.16,0.83,,320.65,,0.22,150.4,,3.46,1.31,5.19,283.0,6.16,2573.0,1341.2,10890.0,249.0,1.11,0.79,6.44,281.0,58.6,,15400.0,1277.6,81.34,910.0,91.85,1934.0,,5025.0,1629.0,68.64,834.7,149.6,108.4,69.84,,5990.0,507.0,246.81,,,8120.0,0.39,172.6,66.5,0.0,209.2,38.9,203.76,6204.0,11.6,,155.05,0.38,5603.5,,,8.12,0.01,75.4,0.05
2021-02-19,23100.0,0.47,,2025.6,5142.5,20.35,,,18350.0,44.46,2.02,,40.35,380.0,96.6,,524.9,109.1,,0.0,1455.0,,126.72,2091.0,136.3,39.63,,89.15,67.0,,166.89,165.0,33.88,0.01,788.4,514.1,,0.16,761.5,4074.8,0.07,17.4,,264.5,63.1,82.0,0.84,2378.0,134.22,1086.2,271.35,,226.17,55.28,5.99,,,771.0,338.2,10.87,3130.0,0.06,13.49,0.8,4066.0,485.2,178.45,,280.82,2.83,2.13,36.6,1397.0,,15.9,4738.0,6.92,,25.2,0.51,,,3813.0,,2378.0,493.7,51.85,186.15,1158.0,0.25,91.39,37.9,0.84,,322.6,,0.22,151.5,,3.46,1.27,5.18,233.0,6.12,2565.5,1365.2,10670.0,252.5,1.1,0.79,6.5,231.0,58.96,,15520.0,1312.4,81.12,921.6,93.75,1944.0,,5063.0,1622.0,69.0,826.3,150.6,107.7,70.51,,6008.0,510.0,250.34,,,8180.0,0.39,175.0,66.15,0.0,204.8,38.7,208.78,3722.0,12.0,,157.4,0.39,5665.5,,,8.32,0.01,75.85,0.05
2021-02-20,23540.0,0.47,,2014.2,5145.5,20.5,,,18390.0,44.67,2.03,,39.95,388.0,97.5,,525.0,109.1,,0.0,1455.6,,127.96,2119.0,135.2,39.98,,89.65,72.5,,165.7,165.5,33.77,0.01,785.8,513.25,,0.16,765.5,4225.2,0.07,17.64,,264.0,63.6,83.2,0.84,2376.0,133.96,1086.8,270.51,,226.4,55.7,6.0,,,480.0,340.0,10.96,3145.0,0.06,13.53,0.81,4080.0,487.2,177.8,,270.2,2.86,2.13,36.55,1392.4,,16.16,4857.0,7.03,,25.28,0.51,,,3877.0,,2376.0,491.6,52.18,186.0,1173.5,0.25,92.06,38.06,0.86,,323.45,,0.22,150.6,,3.59,1.27,5.22,217.0,6.14,2570.0,1360.4,10780.0,254.0,1.1,0.8,6.48,219.0,58.7,,15500.0,1311.6,80.74,925.8,93.7,1950.0,,5046.0,1647.5,69.06,826.8,150.4,108.45,71.62,,6016.0,537.1,249.35,,,8240.0,0.4,173.6,66.85,0.0,208.8,40.6,209.1,2560.0,12.04,,158.0,0.38,5635.0,,,8.26,0.01,77.1,0.05
